x_value,total_1,total_2
0,1000,1000
1,1007,1001
2,1010,1006
3,1017,1005
4,1014,1002
5,1020,998
6,1028,997
7,1026,998
8,1025,1001
9,1027,996
10,1033,996
11,1032,991
12,1040,988
13,1044,985
14,1043,988
15,1040,993
16,1045,994
17,1047,1000
18,1045,996
19,1050,993
20,1050,998
21,1056,995
22,1064,992
23,1066,992
24,1062,996
25,1057,994
26,1055,999
27,1058,994
28,1054,994
29,1061,993
30,1068,998
31,1063,993
32,1064,988
33,1062,994
34,1068,997
35,1065,1003
36,1060,1006
37,1056,1010
38,1055,1013
39,1052,1014
40,1050,1010
41,1050,1005
42,1050,1007
43,1052,1009
44,1051,1011
45,1052,1010
46,1057,1011
47,1053,1014
48,1056,1011
49,1054,1012
50,1057,1016
51,1061,1021
52,1058,1025
53,1052,1021
54,1058,1021
55,1057,1016
56,1054,1018
57,1061,1017
58,1061,1016
59,1067,1021
60,1063,1020
61,1064,1023
62,1062,1020
63,1058,1023
64,1056,1019
65,1053,1021
66,1059,1021
67,1064,1023
68,1058,1023
69,1060,1021
70,1065,1022
71,1063,1020
72,1060,1024
73,1057,1023
74,1065,1023
75,1073,1020
76,1069,1015
77,1076,1016
78,1074,1014
79,1070,1018
80,1072,1013
81,1070,1008
82,1077,1010
83,1084,1006
84,1082,1005
85,1089,1008
86,1092,1004
87,1100,1007
88,1096,1003
89,1091,1008
90,1093,1003
91,1087,1001
92,1083,999
93,1080,1003
94,1082,1004
95,1083,1005
96,1091,1001
97,1098,1002
98,1103,1000
99,1098,1000
100,1102,995
101,1106,997
102,1105,1002
103,1107,1003
104,1115,999
105,1122,997
106,1129,992
107,1134,990
108,1140,987
109,1146,989
110,1141,994
111,1147,994
112,1149,1000
113,1145,1006
114,1142,1009
115,1141,1015
116,1140,1010
117,1138,1010
118,1132,1012
119,1126,1017
120,1122,1013
121,1128,1015
122,1128,1021
123,1134,1021
124,1142,1026
125,1148,1031
126,1149,1031
127,1151,1026
128,1147,1021
129,1142,1020
130,1148,1026
131,1149,1022
132,1156,1026
133,1156,1022
134,1164,1028
135,1168,1025
136,1170,1027
137,1174,1023
138,1173,1019
139,1179,1025
140,1174,1028
141,1175,1029
142,1170,1031
143,1173,1032
144,1174,1035
145,1174,1035
146,1178,1031
147,1184,1030
148,1182,1036
149,1182,1039
150,1188,1044
151,1182,1044
152,1189,1046
153,1195,1050
154,1201,1051
155,1209,1046
156,1209,1049
157,1209,1046
158,1215,1045
159,1212,1044
160,1206,1046
161,1211,1044
162,1206,1045
163,1200,1041
164,1202,1042
